Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,PPTINC , ,,
 ,AF, ,AF, ,CFS, ,INCHES, ,
02/12/2004,220378,,-668,,--,,--,,
02/13/2004,219710,r,-668,,477,,0.00,,
02/14/2004,219209,,-501,,392,,0.00,,
02/15/2004,219042,,-167,,441,,0.23,,
02/16/2004,218707,,-335,,--,,--,,
02/17/2004,219209,,502,,605,,1.87,,
02/18/2004,218874,,--,,608,,0.82,,
02/19/2004,219042,,168,,621,,0.59,,
02/20/2004,218874,,-168,,674,,0.00,,
02/21/2004,218707,,-167,,503,,0.01,,
02/22/2004,218874,,167,,479,,0.19,,
02/23/2004,218540,,--,,650,,0.38,,
02/24/2004,218540,,--,,457,,0.08,,
02/25/2004,218707,,167,,522,,0.21,,
02/26/2004,219209,,502,,929,,2.14,,
02/27/2004,219209,,0,,624,,1.23,,
02/28/2004,219042,,-167,,578,,0.00,,
02/29/2004,219042,,0,,452,,0.00,,
03/01/2004,219209,,--,,445,,0.01,,
03/02/2004,218874,,--,,657,,0.67,,
03/03/2004,218206,,-668,,864,,0.00,,
03/04/2004,217371,,-835,,--,,--,,
03/05/2004,216557,,-814,,865,,0.00,,
03/06/2004,215906,,--,,872,,0.00,,
03/07/2004,215255,,--,,873,,0.00,,
03/08/2004,214930,,-325,,872,,0.00,,
03/09/2004,214767,r,-163,,871,,0.00,,
03/10/2004,215093,,326,,872,,0.00,,
03/11/2004,215093,,0,,873,,0.00,,
03/12/2004,215093,,0,,873,,0.00,,
03/13/2004,215255,,162,,901,,0.00,,
03/14/2004,215581,,326,,862,,0.00,,
03/15/2004,215906,,325,,866,,0.00,,
03/16/2004,216883,,--,,866,,0.00,,
03/17/2004,217705,,822,,862,,0.00,,
03/18/2004,218273,,568,,--,,--,,
03/19/2004,219376,,--,,868,,0.00,,
03/20/2004,220378,,--,,869,,0.00,,
03/21/2004,221547,,--,,860,,0.00,,
03/22/2004,223051,,--,,859,,0.00,,
03/23/2004,224554,,--,,857,,0.00,,
03/24/2004,225891,,--,,858,,0.00,,
03/25/2004,227060,,1169,,867,,0.00,,
03/26/2004,227895,,835,,--,,--,,
03/27/2004,228062,,167,,--,,--,,
03/28/2004,228062,,0,,874,,0.00,,
03/29/2004,228229,,--,,873,,0.00,,
03/30/2004,228563,,334,,873,,0.00,,
03/31/2004,229232,,669,,872,,0.00,,
04/01/2004,229733,,--,,872,,0.00,,
04/02/2004,230067,,--,,865,,0.00,,
04/03/2004,230234,,--,,867,,0.00,,
04/04/2004,230902,,--,,831,,0.00,,
04/05/2004,231737,,--,,867,,0.00,,
04/06/2004,233074,,--,,867,,0.00,,
04/07/2004,234076,,--,,867,,0.00,,
04/08/2004,235105,,--,,869,,0.00,,
04/09/2004,236306,,--,,865,,0.00,,
04/10/2004,237507,,--,,865,,0.00,,
04/11/2004,238365,,--,,862,,0.00,,
04/12/2004,239394,,--,,861,,0.00,,
04/13/2004,240423,,--,,869,,0.00,,
04/14/2004,241281,,--,,869,,0.00,,
04/15/2004,241624,,--,,869,,0.00,,
04/16/2004,241796,,--,,869,,0.03,,
04/17/2004,241624,,--,,870,,0.13,,
04/18/2004,241281,,--,,870,,0.20,,
04/19/2004,240938,,--,,870,,0.14,,
04/20/2004,240595,,--,,865,,0.02,,
04/21/2004,240252,,--,,864,,0.00,,
04/22/2004,240080,,--,,866,,0.00,,
04/23/2004,239737,,--,,867,,0.00,,
04/24/2004,239737,,--,,867,,0.00,,
04/25/2004,240252,,--,,763,,0.00,,
04/26/2004,241796,,--,,692,,0.00,,
04/27/2004,243340,,--,,581,,0.00,,
04/28/2004,245055,,--,,850,,0.00,,
04/29/2004,246771,,--,,790,,0.00,,
04/30/2004,248143,,--,,734,,0.00,,
05/01/2004,249516,,--,,678,,0.00,,
05/02/2004,251407,,--,,597,,0.00,,
05/03/2004,253692,,--,,555,,0.00,,
05/04/2004,256505,,--,,453,,0.00,,
05/05/2004,259845,,--,,449,,0.00,,
05/06/2004,261955,,--,,833,,0.00,,
05/07/2004,263361,,--,,841,,0.00,,
05/08/2004,264416,,--,,836,,0.00,,
05/09/2004,265647,,--,,786,,0.00,,
05/10/2004,266877,,--,,689,,0.00,,
05/11/2004,267756,,--,,687,,0.00,,
05/12/2004,267932,,--,,849,,0.00,,
05/13/2004,267932,,--,,853,,0.00,,
05/14/2004,268459,,--,,779,,0.00,,
05/15/2004,269174,,715,,733,,0.00,,
05/16/2004,270262,,1088,,--,,--,,
05/17/2004,271713,,1451,,452,,0.00,,
05/18/2004,272620,,907,,--,,--,,
05/19/2004,272801,,181,,--,,--,,
05/20/2004,272620,,-181,,--,,--,,
05/21/2004,272620,,--,,838,,0.00,,
05/22/2004,272620,,--,,846,,0.00,,
05/23/2004,272982,,--,,657,,0.00,,
05/24/2004,273708,,--,,506,,0.00,,
05/25/2004,273526,,--,,657,,0.00,,
05/26/2004,273526,,--,,771,,0.00,,
05/27/2004,273526,,--,,862,,0.00,,
05/28/2004,274070,,--,,996,,0.67,,
05/29/2004,274070,,--,,2494,,0.15,,
05/30/2004,273526,,--,,1337,,0.00,,
05/31/2004,273345,,--,,939,,0.00,,
06/01/2004,273164,,--,,860,,0.00,,
06/02/2004,273345,,--,,859,,0.00,,
06/03/2004,273345,,0,,855,,0.00,,
06/04/2004,273345,,0,,1354,,0.00,,
06/05/2004,272982,,-363,,861,,0.00,,
06/06/2004,272801,,-181,,862,,0.00,,
06/07/2004,272801,,--,,1356,,0.00,,
06/08/2004,272620,,--,,862,,0.00,,
06/09/2004,272075,,--,,905,,0.00,,
06/10/2004,271350,,--,,905,,0.00,,
06/11/2004,270625,,--,,852,,0.00,,
06/12/2004,270262,,--,,605,,0.00,,
06/13/2004,270262,,--,,527,,0.00,,
06/14/2004,270080,,--,,623,,0.00,,
06/15/2004,270080,,--,,643,,0.00,,
06/16/2004,270625,,--,,348,,0.00,,
06/17/2004,270987,,362,,348,,0.00,,
06/18/2004,271350,,363,,--,,--,,
06/19/2004,271713,,363,,--,,--,,
06/20/2004,272257,,544,,106,,0.00,,
06/21/2004,272257,,--,,180,,0.00,,
06/22/2004,271894,,-363,,455,,0.00,,
06/23/2004,271350,,-544,,--,,--,,
06/24/2004,270806,,-544,,451,,0.00,,
06/25/2004,270080,,--,,475,,0.00,,
06/26/2004,269536,,--,,443,,0.00,,
06/27/2004,268811,,--,,386,,0.00,,
06/28/2004,268108,,-703,,417,,0.00,,
06/29/2004,267229,,-879,,590,,0.00,,
06/30/2004,266350,,--,,562,,0.00,,
07/01/2004,265647,,-703,,456,,0.00,,
07/02/2004,265355,e,-292,,--,,--,,
07/03/2004,265060,e,-295,,--,,--,,
07/04/2004,264768,,-292,,--,,--,,
07/05/2004,264592,,-176,,--,,--,,
07/06/2004,264240,,-352,,238,,0.00,,
07/07/2004,263889,,--,,190,,0.00,,
07/08/2004,263713,,--,,206,,0.00,,
07/09/2004,263185,,--,,288,,0.00,,
07/10/2004,263010,,--,,191,,0.00,,
07/11/2004,262834,,--,,152,,0.00,,
07/12/2004,262834,,--,,48,,0.00,,
07/13/2004,262482,,--,,185,,0.00,,
07/14/2004,262131,,--,,181,,0.00,,
07/15/2004,261779,,--,,186,,0.00,,
07/16/2004,261603,,--,,184,,0.00,,
07/17/2004,261252,,--,,184,,0.00,,
07/18/2004,260900,,--,,162,,0.00,,
07/19/2004,260900,,0,,46,,0.00,,
07/20/2004,260548,,-352,,--,,--,,
07/21/2004,260197,,-351,,183,,0.00,,
07/22/2004,259669,,-528,,182,,0.00,,
07/23/2004,259494,,-175,,184,,0.00,,
07/24/2004,259142,,-352,,182,,0.00,,
07/25/2004,258790,,-352,,160,,0.00,,
07/26/2004,258615,,--,,48,,0.00,,
07/27/2004,258263,,--,,184,,0.00,,
07/28/2004,257736,,--,,192,,0.00,,
07/29/2004,257208,,--,,196,,0.00,,
07/30/2004,257032,,-176,,184,,0.00,,
07/31/2004,256740,e,-292,,184,,0.00,,
08/01/2004,256450,e,-290,,159,,0.00,,
08/02/2004,256153,,-297,,48,,0.00,,
08/03/2004,255802,,--,,190,,0.00,,
08/04/2004,255274,,--,,183,,0.00,,
08/05/2004,254923,,--,,183,,0.00,,
08/06/2004,254395,,--,,176,,0.00,,
08/07/2004,254044,,--,,177,,0.00,,
08/08/2004,253692,,--,,153,,0.00,,
08/09/2004,253692,,0,,48,,0.00,,
08/10/2004,253341,,-351,,113,,0.00,,
08/11/2004,253341,,0,,15,,0.00,,
08/12/2004,253165,,-176,,47,,0.00,,
08/13/2004,252813,,--,,173,,0.00,,
08/14/2004,252462,,--,,173,,0.00,,
08/15/2004,252110,,--,,155,,0.00,,
08/16/2004,251934,,--,,24,,0.00,,
08/17/2004,251934,,--,,16,,0.00,,
08/18/2004,251758,,--,,16,,0.00,,
08/19/2004,251758,,--,,16,,0.00,,
08/20/2004,251758,,--,,17,,0.00,,
08/21/2004,251583,,--,,17,,0.00,,
08/22/2004,251583,,--,,17,,0.00,,
08/23/2004,251407,,--,,17,,0.00,,
08/24/2004,251407,,--,,16,,0.00,,
08/25/2004,251231,,--,,16,,0.00,,
08/26/2004,251231,,--,,15,,0.00,,
08/27/2004,251059,,--,,15,,0.00,,
08/28/2004,251059,,--,,15,,0.00,,
08/29/2004,250888,,--,,15,,0.00,,
08/30/2004,250888,,--,,15,,0.00,,
08/31/2004,251059,,--,,17,,0.00,,
09/01/2004,250888,,--,,30,,0.00,,
09/02/2004,250888,,--,,15,,0.00,,
09/03/2004,250716,,--,,15,,0.00,,
09/04/2004,250716,,--,,15,,0.00,,
09/05/2004,250716,,--,,15,,0.00,,
09/06/2004,250545,,-171,,15,,0.00,,
09/07/2004,250545,,0,,15,,0.00,,
09/08/2004,250373,,--,,15,,0.00,,
09/09/2004,250373,,--,,15,,0.00,,
09/10/2004,250373,,--,,15,,0.00,,
09/11/2004,250202,,--,,15,,0.00,,
09/12/2004,250202,,--,,15,,0.00,,
09/13/2004,250202,,--,,23,,0.00,,
09/14/2004,250030,,--,,20,,0.00,,
09/15/2004,250030,,--,,15,,0.00,,
09/16/2004,249859,,--,,15,,0.00,,
09/17/2004,249859,,--,,15,,0.00,,
09/18/2004,249687,,--,,15,,0.00,,
09/19/2004,249687,,--,,15,,0.00,,
09/20/2004,249687,,--,,15,,0.12,,
09/21/2004,249516,,--,,15,,0.00,,
09/22/2004,249516,,0,,15,,0.00,,
09/23/2004,249344,,-172,,15,,0.00,,
09/24/2004,249344,,--,,15,,0.00,,
09/25/2004,249344,,--,,15,,0.00,,
09/26/2004,249172,,--,,15,,0.00,,
09/27/2004,249172,,0,,15,,0.00,,
09/28/2004,249172,,0,,16,,0.00,,
09/29/2004,249001,,--,,16,,0.00,,
09/30/2004,249001,,--,,15,,0.00,,
10/01/2004,249001,,--,,16,,0.00,,
10/02/2004,248829,,--,,6,,0.00,,
10/03/2004,248829,,--,,6,,0.00,,
10/04/2004,248829,,--,,33,,0.00,,
10/05/2004,248829,,--,,6,,0.07,,
10/06/2004,248829,,--,,6,,0.00,,
10/07/2004,248658,,--,,6,,0.00,,
10/08/2004,248658,,--,,5,,0.00,,
10/09/2004,248658,,--,,5,,0.00,,
10/10/2004,248658,,--,,5,,0.00,,
10/11/2004,248486,,--,,5,,0.00,,
10/12/2004,248486,,--,,5,,0.00,,
10/13/2004,248486,,0,,5,,0.00,,
10/14/2004,248400,e,-86,,--,,--,,
10/15/2004,248315,,-85,,5,,0.00,,
10/16/2004,248315,,--,,5,,0.00,,
10/17/2004,248315,,--,,5,,0.46,,
10/18/2004,250373,,--,,7,,4.33,,
10/19/2004,251407,,--,,43,,0.51,,
10/20/2004,253341,,--,,7,,3.57,,
10/21/2004,254220,,--,,8,,0.95,,
10/22/2004,254747,,--,,7,,0.00,,
10/23/2004,255274,,--,,6,,0.00,,
10/24/2004,256505,,--,,6,,0.40,,
10/25/2004,257736,,--,,6,,0.15,,
10/26/2004,258615,,879,,7,,0.73,,
10/27/2004,259320,e,705,,7,,1.82,,
10/28/2004,260021,,701,,7,,0.06,,
10/29/2004,260373,,--,,7,,0.00,,
10/30/2004,260900,,--,,6,,0.00,,
10/31/2004,261427,,--,,6,,0.00,,
11/01/2004,261955,,--,,6,,0.00,,
11/02/2004,262306,,--,,6,,0.00,,
11/03/2004,263010,,--,,6,,0.00,,
11/04/2004,263537,,--,,45,,0.17,,
11/05/2004,263713,,--,,326,,0.00,,
11/06/2004,263713,,--,,464,,0.00,,
11/07/2004,263713,,--,,464,,0.00,,
11/08/2004,263889,,--,,463,,0.00,,
11/09/2004,263537,,--,,463,,0.21,,
11/10/2004,263185,,--,,463,,0.00,,
11/11/2004,263010,,--,,459,,0.37,,
11/12/2004,263010,,--,,460,,0.43,,
11/13/2004,262482,,--,,463,,0.00,,
11/14/2004,262131,,--,,463,,0.00,,
11/15/2004,261603,,--,,462,,0.00,,
11/16/2004,261252,,--,,437,,0.00,,
11/17/2004,261076,,--,,424,,0.00,,
11/18/2004,261252,,--,,276,,0.00,,
11/19/2004,261252,,--,,376,,0.00,,
11/20/2004,261076,,--,,406,,0.00,,
11/21/2004,260724,,--,,355,,0.00,,
11/22/2004,260021,,--,,441,,0.00,,
11/23/2004,259142,,--,,446,,0.00,,
11/24/2004,258790,,--,,437,,0.00,,
11/25/2004,258439,,--,,443,,0.00,,
11/26/2004,257911,,--,,446,,0.00,,
11/27/2004,257911,,--,,440,,0.52,,
11/28/2004,257560,,--,,444,,1.22,,
11/29/2004,257032,,--,,451,,0.00,,
11/30/2004,256857,,--,,436,,0.00,,
12/01/2004,256681,,--,,446,,0.00,,
12/02/2004,256329,,--,,465,,0.00,,
12/03/2004,256153,,--,,432,,0.00,,
12/04/2004,256153,,--,,432,,0.00,,
12/05/2004,255626,,--,,457,,0.00,,
12/06/2004,255450,,--,,458,,0.00,,
12/07/2004,254923,,--,,446,,1.30,,
12/08/2004,254747,,--,,461,,1.84,,
12/09/2004,254571,,--,,459,,0.38,,
12/10/2004,254395,,--,,460,,0.00,,
12/11/2004,254220,,--,,457,,0.00,,
12/12/2004,254044,,--,,458,,0.00,,
12/13/2004,253868,,--,,464,,0.00,,
12/14/2004,253692,,--,,465,,0.00,,
12/15/2004,253516,,--,,462,,0.00,,
12/16/2004,253516,,0,,483,,0.00,,
12/17/2004,253516,,0,,458,,0.00,,
12/18/2004,253341,,-175,,458,,0.00,,
12/19/2004,253165,,-176,,456,,0.00,,
12/20/2004,252813,,--,,459,,0.00,,
12/21/2004,252462,,--,,461,,0.00,,
12/22/2004,252110,,-352,,461,,0.00,,
12/23/2004,251758,,-352,,466,,0.00,,
12/24/2004,251231,,-527,,462,,0.00,,
12/25/2004,250888,,-343,,457,,0.00,,
12/26/2004,250545,,-343,,489,,0.00,,
12/27/2004,250030,,-515,,460,,0.02,,
12/28/2004,249859,,-171,,457,,0.65,,
12/29/2004,249687,,-172,,--,,--,,
12/30/2004,249516,,-171,,--,,--,,
12/31/2004,249869,,353,,--,,--,,
01/01/2005,249859,,-10,,--,,--,,
01/02/2005,249859,,0,,--,,--,,
01/03/2005,249859,,0,,471,,0.19,,
01/04/2005,249687,,--,,436,,0.18,,
01/05/2005,249344,,--,,437,,0.12,,
01/06/2005,249172,,-172,,448,,0.00,,
01/07/2005,249172,,0,,477,,0.45,,
01/08/2005,249344,,172,,453,,2.28,,
01/09/2005,249516,,172,,457,,2.37,,
01/10/2005,250545,,--,,461,,2.64,,
01/11/2005,251231,,--,,368,,1.52,,
01/12/2005,251231,,--,,392,,0.46,,
01/13/2005,250888,,--,,425,,0.00,,
01/14/2005,250545,,--,,458,,0.00,,
01/15/2005,250202,,--,,457,,0.00,,
01/16/2005,250030,,--,,458,,0.00,,
01/17/2005,249859,,-171,,454,,0.00,,
01/18/2005,249687,,-172,,950,,0.00,,
01/19/2005,249516,,-171,,440,,0.00,,
01/20/2005,249344,r,-172,,376,,0.00,,
01/21/2005,249516,,172,,403,,0.00,,
01/22/2005,249516,,0,,458,,0.00,,
01/23/2005,249687,,171,,440,,0.00,,
01/24/2005,249859,,172,,431,,0.00,,
01/25/2005,250030,,171,,--,,--,,
